Model,Mean CV Accuracy,Std Deviation,Rank
Random Forest,0.72063973,0.0027173813008777503,1
Logistic Regression,0.7027441079999999,0.0028353872070276532,4
Gradient Boosting,0.703787878,0.013694642873518669,3
Hist Gradient Boosting,0.7189730620000001,0.0034124029328870494,2
MLP Classifier,0.611700338,0.01248052976410279,5
